"term","Mike_Count"
"and a whole lot of",10
"and by the end of",10
"and for those of you",10
"and i dont want to",10
"as you can see from",10
"at the bottom of this",10
"at the end of my",10
"at the heart of the",10
"be a part of it",10
"but on the other hand",10
"by the time i got",10
"do not want to be",10
"fell in love with the",10
"for a couple of years",10
"for taking the time to",10
"for those of you that",10
"from the point of view",10
"get a kick out of",10
"have accepted and allowed myself",10
"hope to see you there",10
"hope you are all well",10
"hope you have a great",10
"how am i supposed to",10
"i cant wait to get",10
"i had no idea how",10
"i had the opportunity to",10
"i have accepted and allowed",10
"i have no idea where",10
"i have to do is",10
"i never thought i would",10
"i think i need to",10
"i think this is the",10
"i was going to do",10
"i was going to have",10
"i was lucky enough to",10
"i wish i could have",10
"i would have to say",10
"i would like to thank",10
"if you really want to",10
"in the back of my",10
"in the case of the",10
"in the context of the",10
"in the midst of all",10
"in the midst of the",10
"in the next couple of",10
"in the wake of the",10
"is not to say that",10
"is one of my favourite",10
"is the best way to",10
"it would be fun to",10
"on the other hand the",10
"on the wrong side of",10
"one of my all time",10
"one of my favorite things",10
"one of the best things",10
"out of his way to",10
"over the last few years",10
"so i decided to make",10
"so i thought it would",10
"so if you want to",10
"thank you all for your",10
"thank you very much for",10
"the first half of the",10
"the lord of the rings",10
"the point of view of",10
"the rest of the story",10
"these are some of the",10
"this was going to be",10
"this was one of the",10
"to all of you who",10
"to get my hands on",10
"to keep up with the",10
"to let you know that",10
"to make it to the",10
"to the back of the",10
"when was the last time",10
"you are looking for a",10
"you dont have to be",10
"you need to do is",10
"you want to be a",10
"a big fan of the",9
"a comment on this post",9
"a few years ago i",9
"a little at a time",9
"a lot of work to",9
"a thing of the past",9
"all i have to say",9
"all in all it was",9
"am going to have to",9
"and for that i am",9
"and for the most part",9
"and in item b above",9
"and let me tell you",9
"and on top of that",9
"and put it on the",9
"as one of the most",9
"at least once a week",9
"at the end of each",9
"at the same time it",9
"at the time i was",9
"but i wanted to share",9
"but the truth is that",9
"but when it comes to",9
"cant remember the last time",9
"cant wait to see you",9
"click on the link below",9
"could go on and on",9
"decided to give it a",9
"dont know what it is",9
"during the course of the",9
"first thing in the morning",9
"flour baking powder and salt",9
"for an hour or so",9
"for the life of me",9
"forgive myself that i have",9
"going on in my life",9
"going to be a great",9
"had nothing to do with",9
"have a bit of a",9
"have not been able to",9
"here are a couple of",9
"here is a link to",9
"hope you are all having",9
"how important it is to",9
"i am going to get",9
"i am not a fan",9
"i am so happy to",9
"i am so proud of",9
"i decided to take a",9
"i feel like i am",9
"i felt like i was",9
"i forgive myself that i",9
"i had a hard time",9
"i have been able to",9
"i have been thinking about",9
"i have to go to",9
"i have to say it",9
"i havent been able to",9
"i hope to see you",9
"i knew i wanted to",9
"i may or may not",9
"i think it would be",9
"i wanted to make sure",9
"i woke up this morning",9
"if i am going to",9
"if it werent for the",9
"im not a fan of",9
"im not sure if i",9
"in a bit of a",9
"in a way that is",9
"in the bottom of the",9
"in the last few years",9
"in the united states and",9
"is going to have to",9
"it seems to be a",9
"it would have been a",9
"its one of my favorite",9
"its time for me to",9
"just a few of the",9
"just in time for the",9
"just to name a few",9
"keep an eye out for",9
"know about you but i",9
"look forward to seeing you",9
"looked at me and said",9
"love to hear from you",9
"most of the time i",9
"myself that i have accepted",9
"needless to say i was",9
"not have to worry about",9
"oh and did i mention",9
"one day at a time",9
"one of the most beautiful",9
"one step at a time",9
"out in the middle of",9
"preheat the oven to c",9
"seem to be able to",9
"tell me what you think",9
"thank you thank you thank",9
"thanks so much for stopping",9
"that at the end of",9
"that i have accepted and",9
"that you dont have to",9
"the best thing to do",9
"the fact that it was",9
"the last time i saw",9
"the older i get the",9
"the rest of the year",9
"the th anniversary of the",9
"the world a better place",9
"there are so many things",9
"there is no need to",9
"there is no way to",9
"those of you who dont",9
"those of you who have",9
"thought i was going to",9
"to do with the fact",9
"to get away from the",9
"to get rid of the",9
"to share it with you",9
"to spend some time with",9
"to take a look at",9
"to the left of the",9
"trying to come up with",9
"up in the middle of",9
"wake up in the morning",9
"was the only one who",9
"we will be able to",9
"what are you talking about",9
"what i was going to",9
"will have to wait until",9
"would not be able to",9
"you are all having a",9
"you can see from the",9
"a big thank you to",8
"a couple of days ago",8
"a few of my favorite",8
"a few years ago when",8
"a great deal of time",8
"a heck of a lot",8
"a little bit of a",8
"a lot of people are",8
"a lot of work but",8
"a man and a woman",8
"a short period of time",8
"all i want to do",8
"all the way back to",8
"all we have to do",8
"am really looking forward to",8
"an important part of the",8
"an integral part of the",8
"and at the end of",8
"and i am going to",8
"and i dont have to",8
"and over and over again",8
"and thank you so much",8
"and the fact that i",8
"are going to have to",8
"are just a few of",8
"are some of the most",8
"are you going to be",8
"as long as i can",8
"as much as i am",8
"at the hands of the",8
"at the same time and",8
"be a part of the",8
"be one of the most",8
"been a bit of a",8
"been a long time since",8
"but i am going to",8
"by the end of this",8
"came up to me and",8
"come to the conclusion that",8
"decided it was time to",8
"didnt know what to do",8
"do with the fact that",8
"does not have to be",8
"dont have a lot of",8
"eggs one at a time",8
"err on the side of",8
"feel free to contact me",8
"for about minutes or until",8
"for the first time this",8
"for the next few months",8
"get in the way of",8
"going to be a good",8
"had a bit of a",8
"had something to do with",8
"had to go to the",8
"has something to do with",8
"has to be one of",8
"have a look at the",8
"have to go to the",8
"here are a few of",8
"how i was going to",8
"how i wish i could",8
"i am not sure if",8
"i am not sure what",8
"i can honestly say that",8
"i can only hope that",8
"i cant help but think",8
"i cant think of a",8
"i could come up with",8
"i could go on and",8
"i do a lot of",8
"i dont know if you",8
"i dont know what it",8
"i dont know what the",8
"i dont think i could",8
"i dont want to get",8
"i felt like i had",8
"i had to go to",8
"i have a feeling that",8
"i have no idea why",8
"i know i know i",8
"i love the idea of",8
"i love you so much",8
"i thought i would be",8
"i want to be a",8
"i want to be able",8
"i wanted to share a",8
"i will say that i",8
"i would like to think",8
"i would recommend this book",8
"if you are like me",8
"if you want to do",8
"im going to tell you",8
"im really looking forward to",8
"in a large mixing bowl",8
"in a way that makes",8
"in my life and i",8
"in the last few days",8
"in the last few weeks",8
"in the midst of a",8
"in the past few weeks",8
"is a great place to",8
"is a lot of work",8
"is a member of the",8
"is no such thing as",8
"is not the same as",8
"is one of the reasons",8
"it has nothing to do",8
"it is clear that the",8
"it is one of my",8
"it occurred to me that",8
"it over and over again",8
"it was a bit of",8
"it was a good day",8
"it would be a good",8
"it would be a great",8
"it would have to be",8
"its been a long time",8
"know what im talking about",8
"loyola university of chicago chicago",8
"not the only one who",8
"not to mention the fact",8
"of the united states and",8
"on both sides of the",8
"on the other hand you",8
"on the way to work",8
"one of my best friends",8
"one of those people who",8
"over the next few weeks",8
"over the past few months",8
"right in front of you",8
"salt and pepper to taste",8
"so be sure to check",8
"so i dont have to",8
"something to do with the",8
"sure to check out the",8
"than i thought it would",8
"thank you for all the",8
"thank you for stopping by",8
"thank you for your support",8
"that for the most part",8
"that i need to get",8
"thats not to say that",8
"the beginning of the year",8
"the bottom of this post",8
"the conway south carolina florists",8
"the fact that he was",8
"the fact that i am",8
"the fact that it is",8
"the first time in my",8
"the first time in years",8
"the last couple of years",8
"the order of the day",8
"the other day i was",8
"the president of the united",8
"the reason for this is",8
"the title of this post",8
"the wrong side of the",8
"there are a few things",8
"there is no doubt that",8
"there is still time to",8
"this is what i came",8
"to be able to do",8
"to be able to get",8
"to give it a try",8
"to go to the hospital",8
"to make sure that you",8
"to mention the fact that",8
"to put it another way",8
"to take a photo of",8
"to take a picture of",8
"to tell you the truth",8
"to the other side of",8
"to the side of the",8
"today was a good day",8
"too good to be true",8
"trying to keep up with",8
"trying to make sense of",8
"turns out to be a",8
"wait to see what the",8
"wait to see what you",8
"want to go to the",8
"want to talk to you",8
"wanted to make sure that",8
"was going to have to",8
"we all want to be",8
"we are going to have",8
"we are looking forward to",8
"we have to do is",8
"we look forward to seeing",8
"we were on our way",8
"what are you going to",8
"what are you waiting for",8
"what do you think about",8
"what i need to do",8
"what is going on in",8
"what to do with it",8
"when are you going to",8
"when i got home i",8
"when i was in high",8
"when it comes to my",8
"why do i have to",8
"would have been able to",8
"would love to hear your",8
"you do not have to",8
"you thank you thank you",8
"you wont be able to",8
"you would like to see",8
"a couple of months ago",7
"a few years ago and",7
"a long time since i",7
"a lot of fun with",7
"a way for me to",7
"all i want for christmas",7
"all of a sudden i",7
"all the way down to",7
"all the way up to",7
"and bring to a boil",7
"and cant wait to see",7
"and fell in love with",7
"and i am not sure",7
"and i am so glad",7
"and i have no idea",7
"and i thought it would",7
"and i went to the",7
"and the end of the",7
"and the winner will be",7
"and there you have it",7
"and what it means to",7
"are a few of the",7
"as many of you know",7
"as one of the best",7
"as well as a few",7
"as you can see in",7
"at a loss for words",7
"at least some of the",7
"at some point in the",7
"at the edge of the",7
"at the end of her",7
"at the front of the",7
"at the top of this",7
"be able to do it",7
"be able to make it",7
"be sure to stop by",7
"been a while since ive",7
"been one of the most",7
"but for some reason i",7
"but i have to say",7
"but i thought i would",7
"by the time we got",7
"can be found at the",7
"can only be described as",7
"cant wait to see it",7
"capitalism with the supreme flavor",7
"come as no surprise that",7
"come to think of it",7
"couple of weeks ago i",7
"cover with plastic wrap and",7
"do you really want to",7
"do you think of the",7
"do you want me to",7
"dont know if it was",7
"end of the day i",7
"especially when it comes to",7
"first time in my life",7
"flavor and spirit of egalitarian",7
"for a couple of days",7
"for any length of time",7
"for the first time today",7
"for the last few years",7
"for the past couple of",7
"for the past few weeks",7
"for those who dont know",7
"form of capitalism with the",7
"from all over the world",7
"from the beginning of the",7
"from when i was a",7
"get the hell out of",7
"go so far as to",7
"had no idea what i",7
"had no idea what to",7
"happy to be able to",7
"has been a lot of",7
"have a hard time with",7
"have to admit that i",7
"have to say it was",7
"havent had a chance to",7
"here is a list of",7
"here is what i have",7
"highest form of capitalism with",7
"hope everyone is having a",7
"i am not trying to",7
"i am so glad that",7
"i can say is that",7
"i can say that i",7
"i cannot wait to see",7
"i cant remember the last",7
"i cant wait to read",7
"i decided to go for",7
"i didnt know how to",7
"i dont know if its",7
"i dont know if they",7
"i dont know why but",7
"i dont think i have",7
"i dont think i would",7
"i dont think you can",7
"i dont want to go",7
"i got a call from",7
"i guess ill have to",7
"i had a wonderful time",7
"i had never heard of",7
"i had the pleasure of",7
"i have so much to",7
"i have to remind myself",7
"i have to tell you",7
"i hope everyone had a",7
"i hope you had a",7
"i knew it would be",7
"i know it will be",7
"i know that there are",7
"i love the smell of",7
"i need to figure out",7
"i really want to go",7
"i should be able to",7
"i think it is a",7
"i think its safe to",7
"i thought i was going",7
"i thought i would share",7
"i thought it was a",7
"i told him that i",7
"i want it to be",7
"i want to share with",7
"i want to talk about",7
"i want you to be",7
"i wanted it to be",7
"i wanted to share with",7
"i wanted to show you",7
"i was just going to",7
"i was on my way",7
"i was very excited to",7
"i wish i could say",7
"i wish i had a",7
"i would be able to",7
"i would like to share",7
"i would love to have",7
"i would love to see",7
"if you want to read",7
"if youre a fan of",7
"if youre looking for a",7
"ill let you know when",7
"im not a big fan",7
"im not sure i can",7
"in such a way that",7
"in the case of a",7
"in the here and now",7
"in the late s and",7
"in the market for a",7
"in the middle of it",7
"in the middle of my",7
"in the next few months",7
"in the past few months",7
"in the past i have",7
"in the same way that",7
"is an important part of",7
"is going to be the",7
"is supposed to be a",7
"is the way to go",7
"it has something to do",7
"it has to be said",7
"it is one of those",7
"it was meant to be",7
"it was supposed to be",7
"it was time to go",7
"it would be better to",7
"it would make a great",7
"its a great place to",7
"its hard to believe that",7
"its that time of year",7
"keep up the good work",7
"law loyola university of chicago",7
"let us know if you",7
"light at the end of",7
"made our way to the",7
"my favorite part of the",7
"myself to the fact that",7
"never been a fan of",7
"not a fan of the",7
"not the end of the",7
"now is the time to",7
"of capitalism with the supreme",7
"of law loyola university of",7
"of the best things about",7
"of what it means to",7
"on the back of a",7
"on the bottom of the",7
"on the day of the",7
"on the outside of the",7
"once upon a time there",7
"one of the hardest things",7
"one of the most exciting",7
"one of the most successful",7
"one or more of the",7
"open highest form of capitalism",7
"or at the very least",7
"over the course of a",7
"over the last couple of",7
"over the next few days",7
"over the years i have",7
"preheat oven to degrees f",7
"remember the last time i",7
"right in the middle of",7
"school of law loyola university",7
"should come as no surprise",7
"so you can see how",7
"some of you out there",7
"still a work in progress",7
"still trying to figure out",7
"supreme flavor and spirit of",7
"thank you to all of",7
"thanks for stopping by and",7
"that awkward moment when you",7
"that i dont want to",7
"that i would like to",7
"that may or may not",7
"the end of last year",7
"the end of the book",7
"the end of the film",7
"the end of the school",7
"the end of the season",7
"the end of the story",7
"the end of the tunnel",7
"the end of this post",7
"the fact that i have",7
"the fact that i was",7
"the fact that they are",7
"the first part of the",7
"the first time i ever",7
"the ins and outs of",7
"the inside of the card",7
"the last couple of weeks",7
"the love of my life",7
"the next couple of weeks",7
"the rest of the series",7
"the right side of the",7
"the santelena hotel venice italy",7
"the school of law loyola",7
"the sides of the bowl",7
"the supreme flavor and spirit",7
"the winner will be announced",7
"there are so many of",7
"there comes a time when",7
"there has been a lot",7
"there is nothing wrong with",7
"there was no way i",7
"think i am going to",7
"this does not mean that",7
"this giveaway is open to",7
"this is a great way",7
"this morning i woke up",7
"this time of the year",7
"thought it would be fun",7
"to be honest i was",7
"to fall in love with",7
"to get the job done",7
"to keep an eye on",7
"to make sure that i",7
"to see some of the",7
"to share with you all",7
"to take a break from",7
"to the base of the",7
"to the fact that the",7
"trying to figure out how",7
"trying to tell me something",7
"turned out to be the",7
"two days in a row",7
"uninterrupted open highest form of",7
"until the end of the",7
"up in the morning and",7
"was one of those days",7
"was supposed to be a",7
"we had so much fun",7
"we have a lot of",7
"what do you do when",7
"what i was looking for",7
"what is going to happen",7
"what is the point of",7
"what it feels like to",7
"what it would be like",7
"what ive been up to",7
"what to do with myself",7
"what you are looking for",7
"what you come up with",7
"what you have to say",7
"what you need to do",7
"when i was a young",7
"when you think about it",7
"with a couple of friends",7
"with the supreme flavor and",7
"would be a good idea",7
"years ago when i was",7
"yet at the same time",7
"you all had a wonderful",7
"you are going to be",7
"you can read more about",7
"you dont have to worry",7
"you might be able to",7
"you so much for stopping",7
"you take the time to",7
"a care in the world",6
"a closer look at the",6
"a cup of coffee and",6
"a hell of a lot",6
"a list of all the",6
"a little over a year",6
"a lot of people have",6
"a lot of time and",6
"a thing or two about",6
"a week and a half",6
"again and again and again",6
"all i can think about",6
"all i could do was",6
"all i had to do",6
"am looking forward to the",6
"and a bit of a",6
"and am looking forward to",6
"and i am so excited",6
"and i didnt want to",6
"and i had a great",6
"and i will continue to",6
"and if you want to",6
"and im looking forward to",6
"and lots and lots of",6
"and one of the best",6
"and see if i can",6
"and then there are the",6
"and will continue to be",6
"any way shape or form",6
"are a few of my",6
"are in the process of",6
"are looking forward to the",6
"are not the only ones",6
"as a bit of a",6
"as luck would have it",6
"as most of you know",6
"as much as i want",6
"as much as you can",6
"as soon as i saw",6
"at least a couple of",6
"at least once a day",6
"at least one of the",6
"at the best of times",6
"at the end of july",6
"at the time it was",6
"attacks up to enemies times",6
"be a bit of a",6
"be a part of this",6
"be one of the best",6
"be sure to check back",6
"because i thought it would",6
"before i went to bed",6
"bring to a boil and",6
"but i cant help but",6
"but i didnt want to",6
"but i thought it was",6
"but in the end i",6
"but you get the idea",6
"by the grace of god",6
"by the side of the",6
"by the time i finished",6
"can be found on the",6
"cant wait to go back",6
"centers for disease control and",6
"chance to stun the enemy",6
"chicago starved rock state park",6
"cool on a wire rack",6
"day in and day out",6
"day in the life of",6
"decided that i wanted to",6
"depending on the number of",6
"despite the fact that i",6
"do whatever it takes to",6
"do you want to be",6
"dont even get me started",6
"dont have a problem with",6
"dont say i didnt warn",6
"end of the school year",6
"every single one of them",6
"feel like i have to",6
"fell in love with it",6
"figure out what to do",6
"find out what it is",6
"for a long time but",6
"for a week or two",6
"for disease control and prevention",6
"for quite some time now",6
"for the past few days",6
"for the sake of the",6
"for those who want to",6
"from one of my favorite",6
"from the perspective of a",6
"get out of the house",6
"going to be a long",6
"going to share with you",6
"had a great time at",6
"has to be said that",6
"has to do with the",6
"have a long way to",6
"have no idea how to",6
"have to come up with",6
"he is one of the",6
"here are a few more",6
"hope to see you at",6
"hope you had a great",6
"how i met your mother",6
"how long have you been",6
"human security is complete life",6
"i am going to go",6
"i am going to take",6
"i am really looking forward",6
"i cant get enough of",6
"i cant help but wonder",6
"i cant think of anything",6
"i cant wait for the",6
"i cant wait to go",6
"i cant wait to hear",6
"i cant wait to share",6
"i could go on but",6
"i couldnt help but think",6
"i decided to give it",6
"i decided to go with",6
"i didnt know what i",6
"i didnt know what to",6
"i didnt really know what",6
"i didnt want it to",6
"i dont even know what",6
"i dont have time to",6
"i dont know if this",6
"i dont know where i",6
"i dont think this is",6
"i dont want to have",6
"i forgot to take a",6
"i had a dream about",6
"i had no idea that",6
"i had to do was",6
"i had to take a",6
"i have a couple of",6
"i have always wanted to",6
"i have been having a",6
"i have come up with",6
"i have not been able",6
"i have to say is",6
"i have to wait for",6
"i hope you all had",6
"i hope you enjoy the",6
"i just got back from",6
"i know some of you",6
"i look forward to seeing",6
"i love the fact that",6
"i must say that i",6
"i need to go to",6
"i on the other hand",6
"i really dont want to",6
"i received an email from",6
"i spent a lot of",6
"i think a lot of",6
"i think i am going",6
"i think i may have",6
"i think i need a",6
"i think it turned out",6
"i think it will be",6
"i think its important to",6
"i think its time to",6
"i think this is a",6
"i think we can all",6
"i thought it might be",6
"i thought it was pretty",6
"i want to be the",6
"i want to know what",6
"i want to tell you",6
"i wanted to share this",6
"i was a kid i",6
"i was fortunate enough to",6
"i was on the phone",6
"i was supposed to be",6
"i will always love you",6
"i will do my best",6
"i will let you know",6
"i wish i could tell",6
"i would have liked to",6
"i would like to give",6
"i would like to have",6
"i would like to see",6
"if i say so myself",6
"if it hadnt been for",6
"if that is the case",6
"if you are able to",6
"if you are in the",6
"if you are one of",6
"if you click on the",6
"if you do not have",6
"if you know what i",6
"if you look at the",6
"if you want to buy",6
"if you want to try",6
"im not going to be",6
"im not going to get",6
"im not sure how i",6
"im not sure what i",6
"in a couple of weeks",6
"in a way i never",6
"in all it was a",6
"in any way shape or",6
"in front of me and",6
"in front of the camera",6
"in just a few short",6
"in order to do that",6
"in order to keep the",6
"in the age of the",6
"in the beginning of the",6
"in the face of the",6
"in the first place and",6
"in the grand scheme of",6
"in the heat of the",6
"in the last couple of",6
"in the next few days",6
"in the next week or",6
"in the swing of things",6
"in the wall street journal",6
"into the center of the",6
"is a good example of",6
"is a picture of the",6
"is it any wonder that",6
"is it just me or",6
"is just around the corner",6
"is just as important as",6
"is probably one of the",6
"is so much more than",6
"is the beginning of the",6
"is the best place to",6
"is the first time i",6
"is the key to the",6
"is the only way to",6
"it as much as i",6
"it does not have to",6
"it goes without saying that",6
"it has to do with",6
"it is up to you",6
"it makes me feel like",6
"it should be noted that",6
"it should come as no",6
"it was a great day",6
"it was hard to tell",6
"it was my first time",6
"it was nice to have",6
"it was so nice to",6
"it will be nice to",6
"it would be great to",6
"it would have been better",6
"its been so long since",6
"its easy for me to",6
"its fair to say that",6
"its not going to be",6
"its safe to say that",6
"just the way i like",6
"know for a fact that",6
"know what its like to",6
"last time i was in",6
"leave a comment on this",6
"let me tell you about",6
"let me tell you that",6
"lets take a look at",6
"like to think that i",6
"looking forward to your tweets",6
"make the world a better",6
"makes me feel a little",6
"might be a good idea",6
"might not be able to",6
"most of the time and",6
"mothers day to all the",6
"move on to the next",6
"my husband and i have",6
"near the end of the",6
"need to get rid of",6
"no idea what i was",6
"no matter what you do",6
